word1	attr1	word2	attr2	Comment	period	genre	combined		word1 freq	word2 freq	bigram freq	score trimmed	distance	url
amāru	[see]	amāru	[see]		OB (556), NA (202), Sel (85), SB (44), Ach (21), No info (4), NB (2), 1stM (2)	mathematical (558), omen (174), astrological report (54), astronomical (36), incantation-ritual (26), scholarly letter (22), literary (12), no info (8), astrological (8), administrative letter (8), school (2), scholarly (2), royal inscription (2), priestly letter (2), medical (2)	OB mathematical (556), NA omen (78), Sel omen (65), NA astrological report (54), SB astronomical (28), NA scholarly letter (22), NA incantation-ritual (20), SB omen (16), Ach omen (15), NA literary (10), Sel astrological (8), NA administrative letter (8), Sel incantation-ritual (6), Sel astronomical (6), NA no info (6), No info no info (2), No info literary (2), NB royal inscription (2), NA school (2), NA priestly letter (2), Ach medical (2), Ach mathematical (2), Ach astronomical (2), 1stM scholarly (2)		2769	2769	916	−3,192	4,853	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22am%C4%81ru%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	našû	[lifted]		OB (499), NA (55), Sel (10), Ach (7), SB (5), NB (1)	mathematical (500), astrological report (19), omen (16), literary (15), administrative letter (9), scholarly letter (7), astronomical (6), priestly letter (2), incantation-ritual (2), royal inscription (1)	OB mathematical (499), NA astrological report (19), NA literary (15), NA administrative letter (9), Sel omen (8), NA scholarly letter (7), Ach omen (6), SB astronomical (5), Sel incantation-ritual (2), NA priestly letter (2), NA omen (2), NB royal inscription (1), NA astronomical (1), Ach mathematical (1)		2769	1668	577	−3,794	3,021	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22na%C5%A1%C3%BB%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	igû	[reciprocal]		OB (230), Ach (4), Sel (3), MB (1)	mathematical (236), omen (2)	OB mathematical (230), Ach mathematical (4), Sel omen (2), Sel mathematical (1), MB mathematical (1)		2769	650	238	−4,99	3,181	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22ig%C3%BB%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	paṭāru	[loosen]		OB (196), NA (6)	mathematical (196), literary (3), incantation-ritual (2), astrological report (1)	OB mathematical (196), NA literary (3), NA incantation-ritual (2), NA astrological report (1)		2769	534	202	−5,179	2,807	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22pa%E1%B9%AD%C4%81ru%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	ūmu	[day]		NA (520), SB (94), Sel (78), Ach (4), NB (3), 1stM (3), Uncertain (2), OB (2), No info (2)	astrological report (358), astronomical (103), omen (81), scholarly letter (65), astrological (30), administrative letter (20), literary (10), scholarly (9), school (7), royal inscription (6), incantation-ritual (5), no info (4), hemerological (4), medical (2), mathematical (2), priestly letter (1), legal transaction (1)	NA astrological report (358), SB astronomical (88), NA scholarly letter (65), Sel omen (40), Sel astrological (30), NA omen (28), NA administrative letter (20), NA astronomical (12), NA school (7), NA literary (7), SB omen (6), NA scholarly (6), NA royal inscription (6), NA no info (4), NA hemerological (4), Sel incantation-ritual (3), Sel astronomical (3), NB literary (3), Ach omen (3), 1stM scholarly (3), Uncertain omen (2), Sel medical (2), OB mathematical (2), No info omen (2), NA priestly letter (1), NA legal transaction (1), NA incantation-ritual (1), Ach incantation-ritual (1)		2769	8958	708	−5,629	3,124	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22%C5%ABmu%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	divinity	[?]		NA (885), Sel (73), SB (41), Ach (30), NB (12), No info (11), 1stM (7), MB (2), MA (1), Hell (1)	astrological report (649), omen (141), scholarly letter (82), literary (48), astronomical (30), royal inscription (24), no info (18), incantation-ritual (18), administrative letter (18), astrological (10), scholarly (7), school (5), hemerological (5), prophecy (2), priestly letter (2), treaties (1), legal (1), hymn-prayer (1), historical (1)	NA astrological report (649), NA scholarly letter (82), Sel omen (51), NA omen (42), NA literary (33), Ach omen (28), SB astronomical (22), SB omen (19), NA administrative letter (18), NA royal inscription (16), NA no info (16), Sel incantation-ritual (10), Sel astrological (10), No info literary (8), NA incantation-ritual (8), NB royal inscription (7), 1stM scholarly (7), NB literary (5), NA school (5), NA hemerological (5), NA astronomical (4), Sel astronomical (2), No info no info (2), NA prophecy (2), NA priestly letter (2), MB literary (2), Ach astronomical (2), No info omen (1), NA treaties (1), NA hymn-prayer (1), NA historical (1), MA royal inscription (1), Hell legal (1)		2769	20527	1063	−5,653	2,656	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22divinity%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	hepû	[break]		OB (103), NA (4), NB (1)	mathematical (103), royal inscription (2), astrological report (2), scholarly letter (1)	OB mathematical (103), NA astrological report (2), NB royal inscription (1), NA scholarly letter (1), NA royal inscription (1)		2769	261	108	−5,953	2,833	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22hep%C3%BB%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	kīnu	[permanent]		NA (117), SB (5), NB (1)	astrological report (104), scholarly letter (5), astronomical (5), incantation-ritual (3), administrative letter (3), royal inscription (1), omen (1), hymn-prayer (1)	NA astrological report (104), SB astronomical (5), NA scholarly letter (5), NA incantation-ritual (3), NA administrative letter (3), NB royal inscription (1), NA omen (1), NA hymn-prayer (1)		2769	389	123	−6,154	2,423	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22k%C4%ABnu%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	bibbu	[planet]		Sel (64), SB (37), NA (22), Ach (5)	omen (96), astrological report (21), astrological (5), astronomical (3), mathematical (2), administrative letter (1)	Sel omen (56), SB omen (37), NA astrological report (21), Sel astrological (5), Sel astronomical (3), Ach omen (3), Ach mathematical (2), NA administrative letter (1)		2769	424	128	−6,163	2,734	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22bibbu%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
amāru	[see]	mēlû	[height]		OB (72), Sel (1)	mathematical (73)	OB mathematical (72), Sel mathematical (1)		2769	170	73	−6,465	3,699	https://korp.csc.fi/test-as/?mode=other_languages#?lang=fi&stats_reduce=word&cqp=%5Blemma%20%3D%20%22am%C4%81ru%22%5D%20%5B%5D%7B1,5%7D%20%5Blemma%20%3D%20%22m%C4%93l%C3%BB%22%5D&oracc_adsd,oracc_ario,oracc_blms,oracc_cams,oracc_caspo,oracc_ctij,oracc_dcclt,oracc_dccmt,oracc_ecut,oracc_etcsri,oracc_hbtin,oracc_obmc,oracc_riao,oracc_ribo,oracc_rimanum,oracc_rinap,oracc_saao,oracc_others&search_tab=1&search=cqp&within=paragraph
