	barû	palāsu	naṭālu	ṣubbû	amāru	dagālu	hiāṭu	TOTAL
Achaemenid (48858)	16	8	2	0	119	1	3	149
First Millennium (1475)	1	0	2	1	10	0	0	14
Hellenistic (111347)	1	3	0	0	2	2	3	11
Middle Assyrian (30047)	5	0	0	0	10	2	3	20
Middle Babylonian (13702)	3	2	0	0	3	0	1	9
Neo-Assyrian (577754)	91	91	45	14	1514	164	51	1970
Neo-Assyrian, Neo-Babylonian (681)	2	0	0	0	0	0	1	3
Neo-Babylonian (36116)	19	17	5	2	34	5	4	86
Old Assyrian (3540)	0	0	0	2	0	0	1	3
Old Babylonian (44418)	0	1	0	0	625	0	0	626
Seleucid (59789)	24	8	39	0	299	5	5	380
Standard Babylonian (4826)	3	1	1	0	113	0	0	118
Uncertain (3335)	1	1	0	0	8	0	0	10
_ (15591)	11	2	2	1	32	0	5	53
