	barû	palāsu	naṭālu	ṣubbû	amāru	dagālu	hiāṭu	TOTAL
Achaemenid Astronomical (553)	0	0	0	0	16	0	0	16
Achaemenid Incantation-Ritual (4321)	3	3	1	0	8	0	0	15
Achaemenid Literary (399)	0	1	0	0	1	0	0	2
Achaemenid Mathematical (4902)	3	0	0	0	9	0	0	12
Achaemenid Medical (4167)	2	0	0	0	3	0	0	5
Achaemenid Omen (12617)	5	1	1	0	81	1	2	91
Achaemenid Royal Inscription (725)	2	2	0	0	0	0	1	5
Achaemenid Scholarly (342)	1	0	0	0	1	0	0	2
First Millennium Scholarly (1475)	1	0	2	1	10	0	0	14
Hellenistic Administrative (535)	0	0	0	0	0	0	3	3
Hellenistic Legal (103828)	0	0	0	0	1	2	0	3
Hellenistic Ritual (575)	0	3	0	0	0	0	0	3
Middle Assyrian Ritual (207)	0	0	0	0	0	0	2	2
Middle Assyrian Royal Inscription (23310)	2	0	0	0	9	2	0	13
Middle Assyrian _ (3850)	2	0	0	0	1	0	1	4
Middle Babylonian Royal Inscription (1524)	0	2	0	0	0	0	1	3
Middle Babylonian _ (8859)	3	0	0	0	1	0	0	4
Neo-Assyrian Astronomical (1205)	1	1	1	0	13	0	0	16
Neo-Assyrian Hemerological (3003)	1	0	0	0	8	0	0	9
Neo-Assyrian Historical (1538)	0	0	0	0	3	0	0	3
Neo-Assyrian Hymn-Prayer (5142)	1	2	2	0	2	2	2	11
Neo-Assyrian Incantation-Ritual (9649)	5	12	0	0	34	2	0	53
Neo-Assyrian Literary (22983)	20	4	17	4	63	2	5	115
Neo-Assyrian Omen (15283)	5	6	9	0	167	0	14	201
Neo-Assyrian Prayer/Incantation (2937)	0	7	0	0	2	0	0	9
Neo-Assyrian Ritual (11241)	21	10	4	0	0	0	0	35
Neo-Assyrian Royal Inscription (103978)	12	39	8	9	129	49	5	251
Neo-Assyrian Scholarly (952)	4	0	0	0	5	0	0	9
Neo-Assyrian School (1937)	2	1	0	0	8	0	0	11
Neo-Assyrian _ (7435)	5	2	3	0	19	0	3	32
Neo-Assyrian administrative letter (175921)	2	0	0	0	253	58	11	324
Neo-Assyrian administrative record (25873)	0	0	0	0	0	0	2	2
Neo-Assyrian astrological report (34003)	6	3	1	0	560	2	0	572
Neo-Assyrian legal transaction (60360)	0	0	0	0	1	2	0	3
Neo-Assyrian lexical (12229)	2	0	0	0	1	0	0	3
Neo-Assyrian priestly letter (17851)	0	2	0	0	42	9	8	61
Neo-Assyrian prophecy (2478)	0	0	0	0	4	3	1	8
Neo-Assyrian scholarly letter (40700)	2	0	0	1	187	21	0	211
Neo-Assyrian technical procedure (2957)	1	2	0	0	8	0	0	11
Neo-Assyrian treaties (10510)	0	0	0	0	4	14	0	18
Neo-Assyrian, Neo-Babylonian Royal Inscription (681)	2	0	0	0	0	0	1	3
Neo-Babylonian Literary (4168)	1	3	1	0	7	1	0	13
Neo-Babylonian Prayer/Incantation (1719)	1	1	0	0	1	0	0	3
Neo-Babylonian Royal Inscription (13796)	15	11	4	2	23	4	4	63
Neo-Babylonian Scientific (430)	0	1	0	0	2	0	0	3
Neo-Babylonian _ (7721)	2	0	0	0	1	0	0	3
Old Assyrian Royal Inscription (3078)	0	0	0	2	0	0	1	3
Old Babylonian mathematical (16004)	0	0	0	0	623	0	0	623
Seleucid Astrological (8189)	2	0	0	0	60	0	0	62
Seleucid Astronomical (1863)	0	0	0	0	18	0	0	18
Seleucid Incantation-Ritual (18031)	6	4	2	0	33	3	0	48
Seleucid Literary (1746)	0	0	0	0	0	2	0	2
Seleucid Mathematical (1595)	1	0	0	0	5	0	0	6
Seleucid Medical (1910)	0	0	0	0	3	0	0	3
Seleucid Omen (20034)	14	2	37	0	177	0	5	235
Seleucid Scholarly (2162)	0	1	0	0	3	0	0	4
Standard Babylonian Astronomical (3300)	1	1	1	0	76	0	0	79
Standard Babylonian Omen (1526)	2	0	0	0	37	0	0	39
Uncertain Astronomical (354)	0	0	0	0	3	0	0	3
Uncertain Historical (249)	1	1	0	0	0	0	0	2
Uncertain Omen (1014)	0	0	0	0	5	0	0	5
_ Literary (8361)	8	2	2	0	23	0	5	40
_ Omen (704)	0	0	0	1	4	0	0	5
_ Scientific (353)	3	0	0	0	0	0	0	3
_ _ (5741)	0	0	0	0	5	0	0	5
